model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Vosk STT (Small IT),0.7647058823529411,0.5188679245283019,0.14362555317755926,0.625,110.0,0.847510814666748
Vosk STT (Small IT),0.96,0.6648351648351648,0.008640609739997756,0.10909090909090909,121.0,1.6769096851348877
Vosk STT (Small IT),0.7407407407407407,0.6021505376344086,0.23715535229161464,0.696969696969697,112.0,0.8108763694763184
Vosk STT (Small IT),0.8214285714285714,0.6129032258064516,0.21457149286802543,0.638888888888889,114.0,0.8715674877166748
Vosk STT (Small IT),0.8695652173913043,0.6538461538461539,0.10601317434781207,0.6909090909090909,102.0,0.7730631828308105
Vosk STT (Small IT),0.9545454545454546,0.7134146341463414,0.008695177151548692,0.0909090909090909,117.0,2.0887930393218994
Vosk STT (Small IT),0.7777777777777778,0.5714285714285714,0.22506782731403724,0.5970149253731343,104.0,0.8179829120635986
Vosk STT (Small IT),1.0,0.6626506024096386,0.09279771067975602,0.5666666666666667,110.0,0.811406135559082
Vosk STT (Small IT),0.8214285714285714,0.5595854922279793,0.13734019643223405,0.6363636363636364,108.0,0.9120872020721436
Vosk STT (Small IT),0.8571428571428571,0.5844748858447488,0.015289096940926715,0.3098591549295775,128.0,1.614478588104248
Vosk STT (Small IT),0.9629629629629629,0.7258064516129032,0.12572191857286008,0.6176470588235295,135.0,0.8747241497039795
Vosk STT (Small IT),0.7647058823529411,0.6401869158878505,0.13856514146716278,0.6341463414634148,137.0,0.8995265960693359
Vosk STT (Small IT),0.8620689655172413,0.6593406593406593,0.08882389583994751,0.6027397260273972,120.0,0.8026678562164307
Vosk STT (Small IT),0.8518518518518519,0.5944444444444444,0.11116961409150189,0.6567164179104478,107.0,0.9018445014953613
Vosk STT (Small IT),1.3636363636363635,0.7558139534883721,0.007434360163166208,0.5517241379310344,130.0,0.9333922863006592
Vosk STT (Small IT),1.0,0.732620320855615,0.008529253226230115,0.27692307692307694,137.0,1.4791479110717773
Vosk STT (Small IT),0.9523809523809523,0.821656050955414,0.007025357607948558,0.11764705882352941,129.0,1.6085615158081055
Vosk STT (Small IT),0.9583333333333334,0.6807228915662651,0.02123934952630704,0.5818181818181818,113.0,0.9260525703430176
Vosk STT (Small IT),1.04,0.6310160427807486,0.08086779582453094,0.6666666666666667,118.0,0.938338041305542
Vosk STT (Small IT),1.2,0.8427672955974843,0.0,0.1276595744680851,134.0,1.5703907012939453
Vosk STT (Small IT),1.2608695652173914,0.8045977011494253,0.030042479954055134,0.47457627118644075,140.0,0.9045820236206055
Vosk STT (Small IT),0.7714285714285715,0.6036866359447005,0.16350681949708384,0.6428571428571429,131.0,0.8898024559020996
Vosk STT (Small IT),0.7714285714285715,0.5981735159817352,0.13514113623406132,0.6666666666666666,131.0,0.9698736667633057
Vosk STT (Small IT),0.8620689655172413,0.6284153005464481,0.05052522739739306,0.5507246376811593,115.0,0.8804998397827148
Vosk STT (Small IT),0.7692307692307693,0.6107784431137725,0.23245687974745427,0.7384615384615385,102.0,0.8081517219543457
Vosk STT (Small IT),0.88,0.6729559748427673,0.13750902305262408,0.6101694915254238,107.0,0.8801572322845459
Vosk STT (Small IT),0.72,0.575,0.2487939831648211,0.7540983606557377,92.0,0.7577407360076904
Vosk STT (Small IT),1.1304347826086956,0.6514285714285715,0.034338994985168764,0.5423728813559322,114.0,1.0530567169189453
Vosk STT (Small IT),0.9166666666666666,0.7924528301886793,0.1403604669765699,0.5245901639344261,126.0,0.8716154098510742
Vosk STT (Small IT),0.9565217391304348,0.6903225806451613,0.09881511482966875,0.7017543859649122,107.0,0.7789840698242188
Vosk STT (Small IT),1.12,0.6702702702702703,0.07541356871486662,0.625,124.0,0.9377436637878418
Vosk STT (Small IT),0.8333333333333334,0.6126126126126126,0.12671594061839467,0.6206896551724138,136.0,0.9073889255523682
Vosk STT (Small IT),0.8518518518518519,0.6101694915254238,0.1403604669765699,0.6875,108.0,0.8809995651245117
Vosk STT (Small IT),0.8636363636363636,0.8642857142857143,0.15146316523107292,0.6666666666666666,121.0,0.771885871887207
Vosk STT (Small IT),0.7741935483870968,0.558252427184466,0.14018686062462038,0.676056338028169,115.0,1.0492620468139648
Vosk STT (Small IT),0.8387096774193549,0.5544041450777202,0.018956961226810037,0.34375000000000006,107.0,1.4611828327178955
Vosk STT (Small IT),0.9655172413793104,0.680628272251309,0.08631929238178107,0.5675675675675677,130.0,0.8555817604064941
Vosk STT (Small IT),0.8148148148148148,0.6931818181818182,0.03892156689006622,0.28571428571428575,122.0,1.4785854816436768
Vosk STT (Small IT),0.9629629629629629,0.7591623036649214,0.003855598002963863,0.05,145.0,1.5529847145080566
Vosk STT (Small IT),1.0,0.7591623036649214,0.016789125215525624,0.4117647058823529,145.0,1.7750458717346191
Vosk STT (Small IT),0.9583333333333334,0.510989010989011,0.08939270118279458,0.5762711864406779,93.0,0.9969744682312012
Vosk STT (Small IT),0.7777777777777778,0.659217877094972,0.27373915552099287,0.7246376811594203,118.0,1.0836331844329834
Vosk STT (Small IT),0.9,0.6335078534031413,0.0842868260641553,0.6133333333333333,121.0,0.9965085983276367
Vosk STT (Small IT),1.0384615384615385,0.8170731707317073,0.036794373247613636,0.22580645161290322,134.0,1.4365322589874268
Vosk STT (Small IT),0.7272727272727273,0.49767441860465117,0.1459616940826799,0.6582278481012659,107.0,0.8710877895355225
Vosk STT (Small IT),0.8518518518518519,0.5722222222222222,0.25830145139191246,0.7042253521126761,103.0,1.041041612625122
Vosk STT (Small IT),1.0,0.6666666666666666,0.03513597218173687,0.5333333333333332,126.0,0.897381067276001
Vosk STT (Small IT),0.8260869565217391,0.7887323943661971,0.18628206061552108,0.6785714285714285,112.0,0.8482282161712646
Vosk STT (Small IT),1.0434782608695652,0.6193181818181818,0.08635800047213178,0.6440677966101694,109.0,0.844235897064209
Vosk STT (Small IT),0.8928571428571429,0.6648351648351648,0.108043996762779,0.638888888888889,121.0,0.9760754108428955
Vosk STT (Small IT),0.7586206896551724,0.616580310880829,0.17347584066405092,0.6865671641791045,119.0,0.9091706275939941
Vosk STT (Small IT),0.7142857142857143,0.6190476190476191,0.17200767571780612,0.6265060240963856,130.0,0.955085039138794
Vosk STT (Small IT),1.0,0.615819209039548,0.0406731552331291,0.6428571428571429,109.0,0.8653290271759033
